Name,Freq,Month,Year,Date,State,url_1,url_2,url_3,internet_revenue,retail_revenue,internet_handle,retail_handle,internet_promo,tier_1_internet_wagers,tier_1_internet_handle,tier_1_internet_revenue,tier_2_internet_wagers,tier_2_internet_handle,tier_2_internet_revenue,tier_1_retail_wagers,tier_1_retail_handle,tier_1_retail_revenue,tier_2_retail_wagers,tier_2_retail_handle,tier_2_retail_revenue,internet_hold,retail_hold,retail_betsize,internet_betsize
Belterra Casino,Monthly,10,2020,2020-10,IN,none,,,,61839.0,,868781.0,,,,,,,,,,,,,,,0.071179042819767,,
Caesars Southern Indiana,Monthly,10,2020,2020-10,IN,none,,,,359724.0,,1934544.0,,,,,,,,,,,,,,,0.18594769620127535,,
French Lick Resort,Monthly,10,2020,2020-10,IN,none,,,,48001.0,,626317.0,,,,,,,,,,,,,,,0.07664010397290828,,
Rising Star Casino,Monthly,10,2020,2020-10,IN,none,,,,28691.0,,148362.0,,,,,,,,,,,,,,,0.19338509861015624,,
Tropicana Evansville,Monthly,10,2020,2020-10,IN,none,,,,152517.0,,1483954.0,,,,,,,,,,,,,,,0.10277744458386176,,
Harrah's Hoosier Park,Monthly,10,2020,2020-10,IN,none,,,,109058.0,,1353782.0,,,,,,,,,,,,,,,0.080558021897174,,
Indiana Grand,Monthly,10,2020,2020-10,IN,none,,,,219008.0,,1345610.0,,,,,,,,,,,,,,,0.16275741113695646,,
Ameristar Casino,Monthly,9,2020,2020-09,IN,none,,,,605159.0,,5230699.0,,,,,,,,,,,,,,,0.11569371512296922,,
Blue Chip Casino,Monthly,9,2020,2020-09,IN,none,,,,84709.0,,1189074.0,,,,,,,,,,,,,,,0.07123946869580867,,
Horseshoe Hammond,Monthly,9,2020,2020-09,IN,none,,,,322540.0,,4074096.0,,,,,,,,,,,,,,,0.07916848302052774,,
Belterra Casino,Monthly,9,2020,2020-09,IN,none,,,,120850.0,,703545.0,,,,,,,,,,,,,,,0.17177294984684705,,
Caesars Southern Indiana,Monthly,9,2020,2020-09,IN,none,,,,109488.0,,2047180.0,,,,,,,,,,,,,,,0.05348235133207632,,
French Lick Resort,Monthly,9,2020,2020-09,IN,none,,,,30564.0,,381799.0,,,,,,,,,,,,,,,0.08005259311836857,,
Hollywood Lawrenceburg,Monthly,9,2020,2020-09,IN,none,,,,1180536.0,,9858806.0,,,,,,,,,,,,,,,0.11974431792247459,,
Rising Star Casino,Monthly,9,2020,2020-09,IN,none,,,,8889.0,,73627.0,,,,,,,,,,,,,,,0.12073016692246051,,
Tropicana Evansville,Monthly,9,2020,2020-09,IN,none,,,,245214.0,,1668146.0,,,,,,,,,,,,,,,0.1469979246420877,,
Harrah's Hoosier Park,Monthly,9,2020,2020-09,IN,none,,,,97139.0,,1079519.0,,,,,,,,,,,,,,,0.08998359454534843,,
Indiana Grand,Monthly,9,2020,2020-09,IN,none,,,,149708.0,,2166142.0,,,,,,,,,,,,,,,0.06911273591481999,,
Ameristar Casino,Monthly,12,2019,2019-12,IN,DraftKings,,,5043752.0,,66701840.0,,,,,,,,,,,,,,,0.07561638479538195,,,
Blue Chip Casino,Monthly,12,2019,2019-12,IN,FanDuel,,,2208368.0,,35962198.0,,,,,,,,,,,,,,,0.0614080374063899,,,
French Lick Resort,Monthly,12,2019,2019-12,IN,betrivers,,,528200.0,,7908510.0,,,,,,,,,,,,,,,0.06678881356918054,,,
Rising Star Casino,Monthly,12,2019,2019-12,IN,BetAmerica,,,-1173.0,,2129.0,,,,,,,,,,,,,,,-0.5509628933771724,,,
Ameristar Casino,Monthly,11,2019,2019-11,IN,DraftKings,,,4285918.0,,64084130.0,,,,,,,,,,,,,,,0.06687955348695535,,,
Blue Chip Casino,Monthly,11,2019,2019-11,IN,FanDuel,,,1669784.0,,23727830.0,,,,,,,,,,,,,,,0.07037238550680783,,,
French Lick Resort,Monthly,11,2019,2019-11,IN,betrivers,,,476284.0,,8393415.0,,,,,,,,,,,,,,,0.05674496018605061,,,
Ameristar Casino,Monthly,10,2019,2019-10,IN,DraftKings,,,3491063.0,,39374511.0,,,,,,,,,,,,,,,0.08866301857056713,,,
Blue Chip Casino,Monthly,10,2019,2019-10,IN,FanDuel,,,197786.0,,2373840.0,,,,,,,,,,,,,,,0.08331901054830991,,,
French Lick Resort,Monthly,10,2019,2019-10,IN,betrivers,,,496744.0,,6265969.0,,,,,,,,,,,,,,,0.0792764854087213,,,
